Time,PWM,ToF
79.00000000,120.00000000,1629.00000000
81.00000000,120.00000000,1629.00000000
91.00000000,120.00000000,1629.00000000
97.00000000,120.00000000,1630.00000000
106.00000000,120.00000000,1631.50000000
117.00000000,120.00000000,1633.33300000
128.00000000,120.00000000,1635.16600000
134.00000000,120.00000000,1636.16600000
139.00000000,120.00000000,1637.00000000
156.00000000,120.00000000,1639.83300000
167.00000000,120.00000000,1641.66600000
178.00000000,120.00000000,1643.50000000
188.00000000,120.00000000,1645.16600000
204.00000000,120.00000000,1627.00000000
214.00000000,120.00000000,1626.71900000
220.00000000,120.00000000,1626.55100000
230.00000000,120.00000000,1626.27000000
240.00000000,120.00000000,1625.99000000
250.00000000,120.00000000,1625.71000000
261.00000000,120.00000000,1625.40100000
272.00000000,120.00000000,1625.93000000
283.00000000,120.00000000,1624.78400000
298.00000000,120.00000000,1615.00000000
308.00000000,120.00000000,1613.72300000
318.00000000,120.00000000,1612.44600000
328.00000000,120.00000000,1611.17000000
338.00000000,120.00000000,1609.89300000
349.00000000,120.00000000,1608.48900000
360.00000000,120.00000000,1607.84000000
371.00000000,120.00000000,1605.68000000
382.00000000,120.00000000,1604.27600000
393.00000000,120.00000000,1592.00000000
408.00000000,120.00000000,1588.36800000
418.00000000,120.00000000,1585.94700000
428.00000000,120.00000000,1583.52600000
438.00000000,120.00000000,1581.10500000
448.00000000,120.00000000,1578.68400000
459.00000000,120.00000000,1576.21000000
470.00000000,120.00000000,1573.35700000
476.00000000,120.00000000,1571.90500000
481.00000000,120.00000000,1570.69400000
498.00000000,120.00000000,1567.00000000
509.00000000,120.00000000,1564.38000000
520.00000000,120.00000000,1561.76100000
530.00000000,120.00000000,1559.38000000
543.00000000,120.00000000,1556.28500000
553.00000000,120.00000000,1553.90400000
564.00000000,120.00000000,1551.28500000
575.00000000,120.00000000,1548.66600000
588.00000000,120.00000000,1545.57100000
598.00000000,120.00000000,1538.00000000
608.00000000,120.00000000,1535.99000000
619.00000000,120.00000000,1531.91000000
630.00000000,120.00000000,1528.72000000
641.00000000,120.00000000,1525.53000000
647.00000000,120.00000000,1523.79000000
655.00000000,120.00000000,1521.47000000
666.00000000,120.00000000,1518.28000000
677.00000000,120.00000000,1515.90000000
688.00000000,120.00000000,1511.90000000
699.00000000,120.00000000,1491.00000000
