2024-04-15 21:33:04,402 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 21:33:38,319 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 21:35:15,518 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 21:35:18,156 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 21:37:12,359 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 21:46:08,874 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-04-15 21:46:08,875 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-04-15 21:46:08,875 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 21:46:11,550 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 21:46:44,442 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 21:47:17,562 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 21:47:20,816 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 21:47:53,125 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 21:52:25,476 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 21:52:28,227 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 21:55:11,072 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 22:25:44,882 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 22:25:47,465 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 22:27:30,241 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 22:27:40,465 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 22:27:43,069 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-15 22:29:24,823 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-15 22:29:41,833 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-15 22:29:44,404 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
